"","age","f_Lx","f_Qx_0","f_Qx_15","f_Qx_35","m_Lx","m_Qx_0","m_Qx_15","m_Qx_35"
"1","0",83.06,"68.48","40.09","23.72",79.37,"68.04","40.54","24.32"
"2","1",82.35,"67.84","39.94","23.72",78.71,"67.41","40.40","24.33"
"3","2",81.37,"66.97","39.65","23.64",77.72,"66.51","40.08","24.24"
"4","3",80.38,"66.10","39.36","23.56",76.73,"65.60","39.76","24.15"
"5","4",79.39,"65.23","39.06","23.48",75.74,"64.69","39.43","24.05"
"6","5",78.39,"64.35","38.75","23.39",74.75,"63.79","39.10","23.94"
"7","6",77.4,"63.48","38.45","23.30",73.76,"62.87","38.76","23.83"
"8","7",76.41,"62.60","38.13","23.20",72.76,"61.96","38.41","23.72"
"9","8",75.41,"61.72","37.81","23.11",71.77,"61.05","38.06","23.61"
"10","9",74.42,"60.85","37.49","23.00",70.77,"60.14","37.71","23.49"
"11","10",73.42,"59.97","37.16","22.90",69.78,"59.23","37.35","23.36"
"12","11",72.42,"59.09","36.82","22.79",68.78,"58.32","36.98","23.23"
"13","12",71.43,"58.21","36.48","22.68",67.79,"57.41","36.61","23.10"
"14","13",70.43,"57.34","36.14","22.56",66.79,"56.50","36.23","22.97"
"15","14",69.44,"56.46","35.79","22.44",65.8,"55.59","35.85","22.82"
"16","15",68.45,"55.59","35.44","22.32",64.81,"54.68","35.46","22.68"
"17","16",67.45,"54.71","35.08","22.19",63.82,"53.77","35.07","22.53"
"18","17",66.46,"53.84","34.71","22.06",62.84,"52.87","34.68","22.37"
"19","18",65.47,"52.97","34.35","21.92",61.86,"51.97","34.28","22.22"
"20","19",64.49,"52.11","33.99","21.80",60.88,"51.06","33.86","22.04"
"21","20",63.5,"51.26","33.63","21.67",59.91,"50.15","33.43","21.85"
"22","21",62.51,"50.40","33.27","21.54",58.94,"49.28","33.04","21.70"
"23","22",61.53,"49.55","32.89","21.40",57.97,"48.41","32.65","21.55"
"24","23",60.54,"48.69","32.51","21.26",57,"47.54","32.25","21.39"
"25","24",59.55,"47.84","32.13","21.11",56.03,"46.67","31.84","21.22"
"26","25",58.57,"46.98","31.74","20.96",55.06,"45.80","31.43","21.05"
"27","26",57.58,"46.12","31.34","20.79",54.09,"44.93","31.01","20.87"
"28","27",56.6,"45.26","30.93","20.62",53.12,"44.06","30.58","20.69"
"29","28",55.61,"44.40","30.52","20.45",52.15,"43.19","30.15","20.50"
"30","29",54.63,"43.54","30.10","20.27",51.19,"42.33","29.72","20.30"
"31","30",53.65,"42.68","29.68","20.08",50.23,"41.46","29.28","20.10"
"32","31",52.67,"41.83","29.25","19.89",49.26,"40.58","28.81","19.87"
"33","32",51.69,"40.98","28.82","19.69",48.3,"39.70","28.33","19.64"
"34","33",50.71,"40.12","28.38","19.49",47.34,"38.81","27.85","19.40"
"35","34",49.74,"39.27","27.93","19.28",46.39,"37.93","27.37","19.15"
"36","35",48.76,"38.42","27.49","19.07",45.43,"37.05","26.88","18.89"
"37","36",47.79,"37.59","27.04","18.86",44.48,"36.23","26.43","18.68"
"38","37",46.82,"36.76","26.60","18.64",43.53,"35.41","25.99","18.46"
"39","38",45.86,"35.93","26.15","18.43",42.59,"34.60","25.53","18.24"
"40","39",44.89,"35.10","25.69","18.20",41.64,"33.78","25.07","18.01"
"41","40",43.93,"34.27","25.23","17.96",40.7,"32.96","24.61","17.77"
"42","41",42.97,"33.45","24.76","17.73",39.76,"32.14","24.13","17.52"
"43","42",42.01,"32.63","24.30","17.49",38.83,"31.32","23.65","17.26"
"44","43",41.05,"31.82","23.83","17.24",37.9,"30.51","23.17","17.00"
"45","44",40.1,"31.01","23.35","16.98",36.97,"29.70","22.68","16.73"
"46","45",39.15,"30.20","22.87","16.72",36.05,"28.89","22.18","16.45"
"47","46",38.21,"29.42","22.41","16.48",35.13,"28.13","21.73","16.21"
"48","47",37.27,"28.65","21.96","16.24",34.22,"27.38","21.27","15.96"
"49","48",36.33,"27.89","21.50","16.00",33.31,"26.63","20.82","15.71"
"50","49",35.4,"27.12","21.03","15.74",32.4,"25.88","20.35","15.46"
"51","50",34.47,"26.36","20.56","15.48",31.5,"25.14","19.88","15.19"
"52","51",33.54,"25.61","20.10","15.22",30.61,"24.39","19.40","14.91"
"53","52",32.62,"24.86","19.63","14.96",29.72,"23.64","18.91","14.62"
"54","53",31.7,"24.12","19.16","14.69",28.83,"22.89","18.42","14.33"
"55","54",30.78,"23.38","18.68","14.41",27.95,"22.15","17.92","14.02"
"56","55",29.87,"22.64","18.20","14.12",27.07,"21.41","17.42","13.71"
"57","56",28.97,"21.91","17.71","13.83",26.2,"20.69","16.94","13.41"
"58","57",28.07,"21.19","17.23","13.54",25.34,"19.98","16.45","13.10"
"59","58",27.17,"20.47","16.74","13.23",24.49,"19.28","15.97","12.80"
"60","59",26.29,"19.75","16.24","12.92",23.64,"18.59","15.48","12.48"
"61","60",25.41,"19.04","15.75","12.60",22.8,"17.90","14.99","12.16"
"62","61",24.53,"18.35","15.27","12.30",21.97,"17.22","14.50","11.84"
"63","62",23.67,"17.66","14.78","11.98",21.15,"16.55","14.02","11.51"
"64","63",22.81,"16.99","14.30","11.67",20.34,"15.89","13.54","11.19"
"65","64",21.96,"16.31","13.81","11.34",19.55,"15.24","13.06","10.86"
"66","65",21.12,"15.65","13.33","11.01",18.76,"14.60","12.57","10.52"
"67","66",20.29,"14.99","12.84","10.68",17.98,"13.97","12.10","10.19"
"68","67",19.46,"14.33","12.34","10.33",17.22,"13.36","11.63","9.85"
"69","68",18.64,"13.68","11.85","9.98",16.46,"12.75","11.16","9.52"
"70","69",17.83,"13.04","11.36","9.62",15.72,"12.15","10.69","9.17"
"71","70",17.02,"12.40","10.86","9.26",14.99,"11.56","10.23","8.83"
"72","71",16.23,"11.76","10.36","8.89",14.26,"10.96","9.75","8.47"
"73","72",15.44,"11.13","9.85","8.50",13.54,"10.38","9.28","8.11"
"74","73",14.68,"10.51","9.35","8.11",12.84,"9.80","8.81","7.74"
"75","74",13.93,"9.90","8.85","7.72",12.16,"9.25","8.35","7.38"
"76","75",13.19,"9.30","8.35","7.33",11.5,"8.70","7.90","7.02"
"77","76",12.47,"8.75","7.90","6.98",10.85,"8.18","7.46","6.67"
"78","77",11.76,"8.22","7.46","6.62",10.23,"7.67","7.03","6.32"
"79","78",11.08,"7.70","7.02","6.27",9.63,"7.17","6.61","5.97"
"80","79",10.42,"7.20","6.59","5.92",9.04,"6.69","6.19","5.62"
"81","80",9.77,"6.70","6.16","5.56",8.47,"6.22","5.78","5.27"
"82","81",9.14,"6.23","5.76","5.23",7.93,"5.78","5.39","4.95"
"83","82",8.54,"5.79","5.37","4.90",7.4,"5.35","5.01","4.62"
"84","83",7.95,"5.35","4.99","4.57",6.89,"4.93","4.64","4.30"
"85","84",7.39,"4.93","4.61","4.25",6.41,"4.53","4.27","3.98"
"86","85",6.87,"4.52","4.25","3.93",5.96,"4.14","3.92","3.66"
"87","86",6.36,"4.18","3.95","3.67",5.53,"3.82","3.63","3.40"
"88","87",5.89,"3.87","3.67","3.43",5.14,"3.51","3.35","3.16"
"89","88",5.45,"3.57","3.39","3.19",4.76,"3.22","3.08","2.91"
"90","89",5.04,"3.29","3.14","2.96",4.41,"2.94","2.82","2.68"
"91","90",4.65,"3.02","2.90","2.75",4.1,"2.68","2.58","2.46"
"92","91",4.3,"2.77","2.67","2.54",3.79,"2.46","2.38","2.27"
"93","92",3.97,"2.54","2.46","2.35",3.51,"2.26","2.19","2.11"
"94","93",3.67,"2.32","2.25","2.16",3.24,"2.07","2.02","1.94"
"95","94",3.38,"2.10","2.05","1.98",2.99,"1.89","1.84","1.78"
"96","95",3.12,"1.90","1.85","1.79",2.77,"1.71","1.68","1.63"
"97","96",2.9,"1.69","1.66","1.62",2.58,"1.54","1.51","1.47"
"98","97",2.7,"1.48","1.46","1.43",2.41,"1.36","1.34","1.31"
"99","98",2.51,"1.24","1.22","1.20",2.25,"1.15","1.13","1.12"
"100","99",2.33,"0.94","0.94","0.93",2.09,"0.88","0.87","0.87"
"101","100",2.15," NA"," NA"," NA",2.02," NA"," NA"," NA"
