"","age","female","male"
"1","16-17","0.881","0.916"
"37","18-19","0.864","0.933"
"41","20-24","0.866","0.895"
"51","25-29","0.873","0.895"
"61","30-34","0.870","0.916"
"71","35-39","0.857","0.862"
"81","40-44","0.850","0.870"
"91","45-49","0.815","0.824"
"101","50-54","0.805","0.837"
"111","55-59","0.802","0.817"
"121","60-64","0.784","0.809"
"131","65-69","0.782","0.798"
"141","70-74","0.787","0.802"
"151","75-79","0.741","0.791"
"161","80-84","0.717","0.773"
"171","85-89","0.665","0.718"
"181","90+","0.665","0.663"
